Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37380732,10/9/17 0:09,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,10466,Assigned,BRONX,40.90244169,-73.84473953
37381673,10/9/17 0:09,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11436,Assigned,QUEENS,40.67484573,-73.79412023
37381817,10/9/17 0:09,DPR,Department of Parks and Recreation,Damaged Tree,Tree Leaning/Uprooted,,11215,Open,BROOKLYN,40.67218514,-73.98333793
37379401,10/9/17 0:10,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11375,Open,QUEENS,40.71626091,-73.83072945
37381060,10/9/17 0:10,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10463,Assigned,BRONX,40.8863934,-73.89904722
37383194,10/9/17 0:10,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,Assigned,BROOKLYN,40.65183706,-73.94486472
37381763,10/9/17 0:10,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,Open,BRONX,40.82610434,-73.92577224
37378827,10/9/17 0:11,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11368,Closed,QUEENS,40.7384275,-73.85478178
37380220,10/9/17 0:11,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,Assigned,BROOKLYN,40.61533,-73.97114896
37379810,10/9/17 0:11,DCA,Department of Consumer Affairs,Consumer Complaint,Contact Sign Not Posted,,11233,Open,BROOKLYN,40.67957261,-73.90605905
37379638,10/9/17 0:11,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10472,Closed,BRONX,40.82824722,-73.86455876
37378781,10/9/17 0:12,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11218,Open,BROOKLYN,40.64409698,-73.96686646
37378510,10/9/17 0:13,DOT,Department of Transportation,Traffic Signal Condition,Controller,,11228,Open,BROOKLYN,40.62468743,-74.01004344
37382064,10/9/17 0:13,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10024,Closed,MANHATTAN,40.78824945,-73.96835477
37382775,10/9/17 0:13,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11204,Assigned,BROOKLYN,40.61871237,-73.99561629
37381584,10/9/17 0:14,DHS,Operations Unit - Department of Homeless Services,Homeless Person Assistance,N/A,Store/Commercial,10036,Closed,MANHATTAN,40.75512867,-73.98074005
